time,transactions,batch_throughput_TPS,avg_tx_duration_ms
2424, 100, 28.40, 35.20
2427, 100, 28.81, 34.72
2431, 100, 28.98, 34.54
2434, 100, 29.32, 34.10
2438, 100, 28.90, 34.67
2441, 100, 29.15, 34.32
2445, 100, 29.15, 34.31
2448, 100, 29.49, 33.96
2451, 100, 29.06, 34.42
2455, 100, 29.15, 34.34
2458, 100, 29.15, 34.34
2462, 100, 28.98, 34.51
2465, 100, 29.23, 34.29
2469, 100, 29.15, 34.32
2472, 100, 29.15, 34.39
2476, 100, 25.38, 39.40
2480, 100, 22.88, 43.72
2484, 100, 27.32, 36.60
2488, 100, 29.15, 34.38
2491, 100, 29.15, 34.37
2494, 100, 29.06, 34.46
2498, 100, 28.90, 34.66
2501, 100, 29.32, 34.12
2505, 100, 29.06, 34.40
2508, 100, 29.06, 34.46
2512, 100, 29.41, 34.06
2515, 100, 29.15, 34.32
2519, 100, 29.15, 34.33
2522, 100, 28.65, 34.93
2525, 100, 29.06, 34.49
2529, 100, 29.23, 34.23
2532, 100, 28.90, 34.69
2536, 100, 29.15, 34.39
2540, 100, 27.17, 36.89
2543, 100, 29.06, 34.48
2546, 100, 29.15, 34.30
2550, 100, 28.90, 34.67
2553, 100, 29.41, 34.07
2557, 100, 29.23, 34.21
2560, 100, 28.90, 34.61
2564, 100, 29.15, 34.36
2567, 100, 29.06, 34.42
2571, 100, 28.73, 34.89
2574, 100, 29.23, 34.28
2577, 100, 29.06, 34.43
2581, 100, 29.23, 34.22
2584, 100, 29.06, 34.49
2588, 100, 28.57, 35.08
2592, 100, 23.80, 42.02
2596, 100, 23.92, 41.82
2600, 100, 28.98, 34.51
2603, 100, 28.90, 34.61
2607, 100, 29.06, 34.49
2610, 100, 28.81, 34.77
2614, 100, 28.90, 34.65
2617, 100, 28.90, 34.66
2620, 100, 28.98, 34.51
2624, 100, 29.15, 34.39
2627, 100, 28.98, 34.53
2631, 100, 29.15, 34.30
2634, 100, 28.81, 34.73
2638, 100, 29.06, 34.44
2641, 100, 28.81, 34.78
2645, 100, 28.90, 34.64
2648, 100, 28.98, 34.57
2652, 100, 29.32, 34.17
2655, 100, 28.81, 34.78
2659, 100, 29.41, 34.06
2662, 100, 28.73, 34.81
2665, 100, 29.06, 34.48
2669, 100, 28.40, 35.21
2672, 100, 29.06, 34.48
2676, 100, 29.32, 34.18
2679, 100, 28.65, 34.99
2683, 100, 29.06, 34.44
2686, 100, 29.23, 34.22
2690, 100, 29.41, 34.05
2693, 100, 28.57, 35.01
2697, 100, 29.41, 34.09
2700, 100, 28.98, 34.56
2704, 100, 25.51, 39.25
2708, 100, 23.41, 42.76
2712, 100, 27.47, 36.46
2715, 100, 28.98, 34.50
2719, 100, 28.40, 35.27
2722, 100, 29.06, 34.47
2726, 100, 28.81, 34.77
2729, 100, 28.98, 34.51
2733, 100, 28.98, 34.56
2736, 100, 28.98, 34.53
2740, 100, 29.06, 34.44
2743, 100, 28.98, 34.55
2747, 100, 29.23, 34.28
2750, 100, 29.06, 34.41
2753, 100, 28.98, 34.59
2757, 100, 28.57, 35.06
2760, 100, 29.06, 34.43
2764, 100, 28.57, 35.06
2767, 100, 28.57, 35.05
2771, 100, 28.65, 34.92
2774, 100, 29.15, 34.35
2778, 100, 28.90, 34.60
2781, 100, 28.98, 34.55
2785, 100, 29.15, 34.39
2788, 100, 28.81, 34.75
2792, 100, 29.23, 34.24
2795, 100, 29.15, 34.35
2799, 100, 29.15, 34.36
2802, 100, 29.15, 34.32
2805, 100, 28.81, 34.79
2809, 100, 29.15, 34.32
2812, 100, 28.90, 34.61
2816, 100, 28.40, 35.27
2820, 100, 23.98, 41.79
2824, 100, 23.75, 42.13
2828, 100, 29.23, 34.27
2831, 100, 28.73, 34.86
2835, 100, 29.06, 34.47
2838, 100, 29.32, 34.12
2842, 100, 28.90, 34.63
2845, 100, 29.32, 34.19
2848, 100, 29.06, 34.43
2852, 100, 28.57, 35.00
2855, 100, 28.81, 34.71
2859, 100, 28.98, 34.53
2862, 100, 28.90, 34.69
2866, 100, 29.06, 34.45
2869, 100, 28.90, 34.64
2873, 100, 29.23, 34.28
2876, 100, 28.81, 34.70
2880, 100, 29.23, 34.23
2883, 100, 28.73, 34.89
2887, 100, 28.65, 34.96
2890, 100, 29.15, 34.38
2893, 100, 29.23, 34.29
2897, 100, 29.06, 34.48
2900, 100, 29.32, 34.18
2904, 100, 28.90, 34.63
2907, 100, 28.81, 34.73
2911, 100, 29.41, 34.07
2914, 100, 28.65, 34.91
2918, 100, 29.58, 33.89
2921, 100, 28.90, 34.67
2925, 100, 28.90, 34.60
2928, 100, 28.90, 34.60
2931, 100, 29.41, 34.03
2935, 100, 28.98, 34.50
2938, 100, 29.23, 34.25
2942, 100, 28.73, 34.81
2945, 100, 28.90, 34.69
2949, 100, 28.98, 34.52
2952, 100, 29.15, 34.33
2956, 100, 28.24, 35.41
2959, 100, 28.98, 34.52
2963, 100, 28.49, 35.15
2966, 100, 29.06, 34.42
2970, 100, 28.65, 34.92
2973, 100, 28.90, 34.64
2977, 100, 28.90, 34.68
2980, 100, 28.98, 34.55
2984, 100, 29.15, 34.37
2987, 100, 29.06, 34.49
2990, 100, 28.90, 34.61
2994, 100, 28.90, 34.67
2997, 100, 28.81, 34.72
3001, 100, 28.57, 35.01
3004, 100, 29.15, 34.39
3008, 100, 28.98, 34.52
3011, 100, 28.73, 34.87
3015, 100, 29.06, 34.46
3018, 100, 28.73, 34.84
3022, 100, 29.32, 34.12
3025, 100, 28.90, 34.69
3029, 100, 29.06, 34.49
3032, 100, 28.90, 34.61
3035, 100, 29.06, 34.48
3039, 100, 28.81, 34.70
3042, 100, 28.73, 34.82
3046, 100, 28.98, 34.59
3049, 100, 28.81, 34.77
3053, 100, 28.81, 34.77
3056, 100, 28.81, 34.78
3060, 100, 29.32, 34.18
3063, 100, 28.81, 34.75
3067, 100, 28.98, 34.55
3070, 100, 29.41, 34.07
3074, 100, 28.90, 34.62
3077, 100, 29.15, 34.37
3081, 100, 28.73, 34.86
3084, 100, 29.06, 34.46
3087, 100, 29.15, 34.30
3091, 100, 28.90, 34.60
3094, 100, 29.06, 34.45
3098, 100, 28.90, 34.63
