time,transactions,batch_throughput_TPS,avg_tx_duration_ms
2068, 100, 26.73, 37.48
2072, 100, 26.66, 37.53
2075, 100, 27.39, 36.51
2079, 100, 27.10, 36.97
2083, 100, 27.54, 36.32
2086, 100, 27.77, 36.09
2090, 100, 26.95, 37.14
2094, 100, 26.52, 37.72
2097, 100, 27.47, 36.44
2101, 100, 26.80, 37.33
2105, 100, 27.17, 36.81
2109, 100, 27.24, 36.70
2112, 100, 27.32, 36.63
2116, 100, 27.77, 36.02
2120, 100, 26.59, 37.69
2123, 100, 27.70, 36.11
2127, 100, 27.47, 36.44
2131, 100, 26.80, 37.32
2135, 100, 21.73, 46.01
2139, 100, 26.66, 37.57
2143, 100, 26.66, 37.52
2146, 100, 27.10, 36.98
2150, 100, 27.02, 37.05
2154, 100, 27.39, 36.53
2158, 100, 26.59, 37.62
2161, 100, 27.32, 36.65
2165, 100, 27.17, 36.89
2169, 100, 27.10, 36.95
2172, 100, 27.02, 37.01
2176, 100, 26.66, 37.55
2180, 100, 27.02, 37.01
2184, 100, 26.80, 37.30
2187, 100, 26.80, 37.37
2191, 100, 26.95, 37.12
2195, 100, 26.66, 37.51
2199, 100, 27.17, 36.80
2202, 100, 27.17, 36.87
2206, 100, 26.80, 37.31
2210, 100, 27.24, 36.78
2213, 100, 26.24, 38.17
2217, 100, 26.80, 37.37
2221, 100, 26.95, 37.15
2225, 100, 27.39, 36.57
2228, 100, 26.95, 37.11
2232, 100, 26.73, 37.40
2236, 100, 26.45, 37.87
2240, 100, 27.17, 36.86
2244, 100, 22.77, 43.95
2248, 100, 25.18, 39.77
2252, 100, 26.73, 37.42
2255, 100, 26.66, 37.56
2259, 100, 26.66, 37.58
2263, 100, 27.10, 36.94
2267, 100, 27.17, 36.89
2270, 100, 26.59, 37.62
2274, 100, 27.93, 35.89
2278, 100, 26.80, 37.32
2281, 100, 26.73, 37.46
2285, 100, 27.47, 36.40
2289, 100, 26.66, 37.58
2293, 100, 26.52, 37.75
2296, 100, 27.39, 36.53
2300, 100, 26.95, 37.11
2304, 100, 27.62, 36.27
2307, 100, 27.32, 36.69
2311, 100, 27.47, 36.46
2315, 100, 26.66, 37.53
2318, 100, 27.17, 36.83
2322, 100, 27.32, 36.69
2326, 100, 26.73, 37.45
2329, 100, 27.62, 36.24
2333, 100, 26.95, 37.14
2337, 100, 27.17, 36.88
2341, 100, 27.02, 37.07
2344, 100, 26.80, 37.37
2348, 100, 27.32, 36.61
2352, 100, 25.31, 39.54
2356, 100, 23.58, 42.45
2360, 100, 27.24, 36.73
2364, 100, 26.80, 37.34
2367, 100, 27.17, 36.80
2371, 100, 27.47, 36.41
2375, 100, 27.17, 36.82
2378, 100, 26.88, 37.23
2382, 100, 27.10, 36.92
2386, 100, 27.70, 36.18
2389, 100, 27.02, 37.08
2393, 100, 27.02, 37.06
2397, 100, 26.88, 37.29
2401, 100, 27.10, 36.98
2404, 100, 26.66, 37.50
2408, 100, 27.24, 36.74
2412, 100, 27.10, 36.90
2415, 100, 27.39, 36.59
2419, 100, 26.59, 37.63
2423, 100, 27.32, 36.63
2426, 100, 27.39, 36.59
2430, 100, 26.38, 37.92
2434, 100, 27.32, 36.62
2438, 100, 26.73, 37.41
2441, 100, 26.52, 37.78
2445, 100, 27.17, 36.82
2449, 100, 27.02, 37.09
2453, 100, 26.95, 37.15
2456, 100, 26.95, 37.16
2460, 100, 26.73, 37.40
2465, 100, 22.42, 44.64
2468, 100, 27.02, 37.00
2472, 100, 27.47, 36.49
2476, 100, 27.47, 36.48
2479, 100, 27.24, 36.79
2483, 100, 26.95, 37.11
2487, 100, 26.80, 37.33
2490, 100, 27.54, 36.34
2494, 100, 26.59, 37.68
2498, 100, 26.80, 37.31
2502, 100, 27.10, 36.91
2505, 100, 27.62, 36.27
2509, 100, 26.80, 37.39
2513, 100, 27.77, 36.01
2516, 100, 26.95, 37.10
2520, 100, 26.80, 37.38
2524, 100, 26.73, 37.45
2527, 100, 26.95, 37.14
2531, 100, 27.10, 36.90
2535, 100, 26.73, 37.40
2539, 100, 27.24, 36.70
2542, 100, 26.66, 37.53
2546, 100, 26.66, 37.57
2550, 100, 26.80, 37.33
2554, 100, 26.80, 37.33
2557, 100, 27.02, 37.04
2561, 100, 26.73, 37.44
2565, 100, 27.39, 36.57
2568, 100, 26.95, 37.12
2573, 100, 23.04, 43.41
2577, 100, 25.97, 38.53
2580, 100, 27.24, 36.72
2584, 100, 26.73, 37.43
2588, 100, 27.70, 36.19
2591, 100, 26.73, 37.44
2595, 100, 26.73, 37.40
2599, 100, 27.47, 36.41
2603, 100, 26.95, 37.11
2606, 100, 26.73, 37.41
2610, 100, 27.02, 37.05
2614, 100, 26.73, 37.43
2617, 100, 26.88, 37.21
2621, 100, 27.39, 36.54
2625, 100, 27.39, 36.50
2628, 100, 27.17, 36.86
2632, 100, 27.39, 36.56
2636, 100, 27.39, 36.51
2639, 100, 27.24, 36.70
2643, 100, 26.66, 37.52
2647, 100, 27.02, 37.01
2651, 100, 27.62, 36.26
2654, 100, 26.73, 37.45
2658, 100, 27.47, 36.45
2662, 100, 27.10, 36.94
2665, 100, 26.95, 37.16
2669, 100, 26.66, 37.57
2673, 100, 27.39, 36.55
2677, 100, 26.66, 37.55
2681, 100, 25.31, 39.53
2685, 100, 22.93, 43.69
2689, 100, 27.70, 36.12
2692, 100, 26.73, 37.44
2696, 100, 26.95, 37.19
2700, 100, 27.02, 37.05
2703, 100, 27.39, 36.50
2707, 100, 26.80, 37.33
2711, 100, 27.17, 36.82
2714, 100, 27.32, 36.68
2718, 100, 26.95, 37.10
2722, 100, 26.88, 37.22
2726, 100, 26.73, 37.47
2729, 100, 27.62, 36.24
2733, 100, 27.39, 36.56
2737, 100, 27.02, 37.03
2740, 100, 27.10, 36.91
2744, 100, 27.02, 37.09
2748, 100, 27.10, 36.95
2752, 100, 26.95, 37.13
2755, 100, 27.32, 36.62
2759, 100, 26.38, 37.95
2763, 100, 26.95, 37.18
2766, 100, 27.39, 36.57
2770, 100, 26.80, 37.39
